reviewer_name,rating,title,body,date
cigdem dinc,1,I am writing to express my extreme…,"I am writing to express my extreme frustration regarding the persistent and aggressive behavior of your delivery drivers.My doorbell is being rung repeatedly and relentlessly at all hours of the day for orders that do not belong to me. It is not my responsibility to act as a private concierge or security guard for your customers.If a package is not addressed to my residence, your drivers must stop knocking on my door. I strongly suggest you instruct your staff to use their phones to contact the actual customers directly instead of relying on ""primitive"" methods of communication that disturb the entire neighborhood.Please take immediate action to ensure this behavior stops. I expect my privacy to be respected moving forward.",2026-04-07
Cuts,1,Terrible Costumer Service,This is regarding order # 111-1994061-1842662.Amazon placed the wrong adress ( left the floor and appartment number off ) and two of my items were lost for some days. I contacted them regarding this and they refused to compensate me. They even tryied to say it was i who wrote the adress wrong when its impossible because you have to select the adress you have on your account and the adress was correct. The items eventually appeared on my building door without notice or even knowing where they were. Terrible costumer service. Avoid.,2026-04-07
mohamed hamada,1,Honestly,"Honestly, my experience with Amazon was extremely disappointing. I ordered a product that arrived late, and to make matters worse, it was in poor condition and didn't match the description. When I contacted customer service, the responses were slow, there was no clear solution, and I was transferred to a different person each time without any resolution. I felt there was a disregard for the customer's problem and a lack of genuine interest in resolving it. The return policy is complicated and takes an incredibly long time, which wasted my time and effort. The whole experience was exhausting and unsatisfactory, and I didn't expect this from a company of this size. Unfortunately, I won't be buying from them again.",2026-04-07
Andrec Romero,1,My experience with Amazon was…,"My experience with Amazon was unfortunately very bad and disappointing. I ordered a product that arrived late, and on top of that, there was a clear quality defect. I tried contacting customer service, but the response was slow and unclear. Every time, I was promised a solution soon, but nothing actually happened. I waited for several days without the problem being resolved or my money being refunded quickly. What bothered me even more was the lack of transparency. Every time, I received the same responses without any real results. I expected better service from such a large company, but what I experienced was the complete opposite. Honestly, the experience has made me lose all trust in them, and I don't intend to buy from them again anytime soon.",2026-04-07
Joe Mark,1,1 star,"1 star. I’ve been trying to get a refund for over a month.The product was inaccurately described by the seller “Live Laugh Ride,” which is why I returned it. The seller’s page has since been removed.Amazon customer service has been misleading the entire time—telling me my claim was filed, approved, and that I would receive a refund. I was even sent an email confirming it. None of it was true.Every time I call, they say there’s no record and they can’t issue a refund.Unacceptable experience. No accountability.",2026-04-07
Donny,1,Amazon is a terrible organization,trying to return an item is almost impossible !!!  tried several ways to get a QR code sent to me. There online system no response Had to call there phone number and get past an AI idiot computer to get helpthere is ZERO CUSTOMER SERVICE AT AMAZON -I would give it a negative 10 if I could,2026-04-07
Geoff Morton,5,Amazon has always got what you need …,Amazon has always got what you need  and the delivery/return is second to none,2026-04-07
Ahmed Melki,1,"Counterfeit item received, no replacement, poor customer service","I ordered a Samsung 9100 PRO 8TB SSD from Amazon and received a product that did not match the official product in the listing. The drive had physical differences and did not work.When I contacted Amazon customer service, the process was extremely frustrating. I was transferred from one agent to another, had to repeat the same explanation several times, and despite clearly reporting that the product was counterfeit / not as described, Amazon refused to replace it or issue a return label because the return window had expired.For an expensive electronic component, this is unacceptable. Buyers should inspect these products as soon as they arrive and not assume authenticity just because they were purchased through Amazon.",2026-04-07
Cliona Mcgrogan,1,Pending Know Your Customer (KYC)…,Pending Know Your Customer (KYC) account verification!!! What is this bullshit? I have added all of these forms which I think is a data protection breach in any case and Amazon still won't activate my account. Dispicable!,2026-04-07
Salli Solow,1,No Help with Hacked AMAZON Account,"My Amazon Prime Account was hacked. I have notified Amazon via customer service (twice) and sent email.  Customer Service promised I would receive a call from the FRAUD DEPARTMENT ….. that has never happened. On November 3, 2025, I paid &140 for year’s membership.  When account was hacked my Amazon Prime was made inactive and they cancelled Audible account too!!!!!!",2026-04-07
Kim Manning,1,Delayed deliveries,"Many times recently I have made purchases from Amazon specifically for the date of delivery. I am a PRIME subscriber. Many times I have had the initial delivery date changed by Amazon. When people buy items from Amazon and specifically need it by a certain date and then they buy it on Amazon website because it says it will be delivered by a certain date and get nothing more than ""SORRY FOR THE DELAY"" , it is time to start buying elswhere.",2026-04-07
Mecheleen Borgonah,1,Amazon Is Straight-Up Stealing From Customers,"I am absolutely furious with Amazon’s service and how they treat their customers.I ordered a suit, and the order status showed “delivered” — except I NEVER received it. I also never shared the OTP with anyone, which is required for delivery. So clearly, something went wrong on their end.When I first contacted customer service, they assured me I would get a refund. But after waiting 2–3 days and receiving nothing, I reached out again — only to be told that after their “investigation,” the item was marked as successfully delivered.I explained repeatedly that I never gave the OTP and never received the package, but they simply didn’t care. Every single time I contacted them — even speaking to a supervisor — I got the same robotic response: “The product was delivered.” No accountability, no proper investigation, nothing.This is completely unacceptable. If a customer hasn’t shared an OTP, how can you claim the delivery was valid?Amazon has basically taken my money and refused to fix their mistake.DO NOT ORDER FROM AMAZON. They don’t protect their customers and clearly don’t care when things go wrong. This feels nothing short of being scammed.",2026-04-07
Makhdoom Hussain,5,I’ve been using this product for a few…,"I recently purchased this product and overall I’m quite satisfied with it. The quality is good for the price, and it works exactly as described. It was easy to use right out of the box, and the design is simple yet effective.",2026-04-07
Maz,1,Strange how a company as big as Amazon…,"Strange how a company as big as Amazon and you buy a faulty product and contact the seller and the seller naturally wants a small clip to show the fault so you make a clip and when you come to download it to send it to a seller this big company doesn't have facilities to send an MP4 I'll be back in the MP3 days, come on Amazon get your act together move up to MP4.",2026-04-07
Suntche Bashan,5,Trusted and reliable services .easy…,Trusted and reliable services .easy access for their customers and simple,2026-04-07
Daniel Rosenstein,2,Unsatisfactory deliveries,"Packages delivered with contents unsealed. Some of the items we have bought arrived, but the boxes inside were opened. They also smell like some kind of a disinfectant. Sometimes you’re not allowed to return these especially if they are food items. Very disappointing, a big waste of money and you have to go somewhere to initiate a return at one of their drop-off locations. I had it delivered to my house because I didn’t wanna go to one of their locations like a Whole Foods or an Amazon fresh.",2026-04-07
Bo Nichols,5,Love Amazon,Love Amazon,2026-04-07
Eric Rice,1,Paying for prime shipping is a complete WASTE of money,"I have been a prime customer for years and always felt that the membership was worth the money for the 2 day shipping. Lately however, it has been a complete waste of money. I don’t know what happened to Amazon but for the last 3 months everything I have ordered has been late or delayed shipping. NOTHING arrives when it’s say it’s supposed to. I base my shopping decisions on when I will receive the item.l, But Amazon lies and does not keep their delivery promises. Something happened and they need to get if figured out or they are going to lose another Prime customer.",2026-04-07
Michael Primo,1,Amazon Doesn’t Care About the Working…,"Amazon Doesn’t Care About the Working Man — And the Clock Is Ticking on People Like JoshPosted April 6, 2026I’ll be honest upfront: I missed the return window. I know. I owned it. I apologized. But what followed revealed exactly who Amazon is when policy is on their side and you have nothing left to leverage.The item — a CyberPower UPS, still sealed, never opened, never touched — sat in original packaging because life buried me. My grandfather passed away. My mother was diagnosed with cancer. I was fighting depression, drowning in school deadlines, managing financial pressure, and my car was dead in the driveway with a failed ABS brake module I couldn’t afford to fix. I wasn’t being careless. I was surviving.I asked for anything reasonable — store credit, account credit, a goodwill exception, something. I wasn’t demanding. I was asking a billion-dollar company to act human for sixty seconds.Josh, the supervisor I was escalated to, said no. Every way I asked. No creativity. No empathy. No attempt to actually help. Just policy repeated back like a shield.Here’s what Josh and people like him don’t seem to realize yet: the same technology that’s reshaping every other industry is coming for customer service management too. The idea that a supervisor role — one that amounts to reading policy and saying no — is somehow untouchable? That era is ending. AI doesn’t get tired. It doesn’t clock out. And frankly, in this interaction, it would have shown more flexibility and human decency than Josh did.Amazon calls itself customer-obsessed. But customer obsession apparently expires with your return label. After that, you’re on your own — grieving, sick with worry about your mother, broke, and being told there’s nothing anyone can do by someone who made zero effort to find out if that’s actually true.This wasn’t about the money. It was about being treated like a person. Amazon failed. Completely.",2026-04-07
Harut Marina,1,Scammers,ScammersI was scammed by amazon and lost 66 usd,2026-04-07
Joyce,1,The customer service is horrible,The customer service is horrible! When contacting them about a shipping issue they stated to me that I needed a backup payment because there was an issue with my gift card not having enough money to cover taxes and other fees! I had $56 on gift card and my total was $33! Taxes will not reach $23 so that doesn’t make any sense! Then they logged into my account changing my backup payment method to my mothers card that I had once used without mine or her knowledge and tried to charge her card the amount they took off of my gift card and explained to me sometimes you’re charged twice! What?,2026-04-07
Shannon Jade Hemmins,1,Well my order got delivered to someone…,Well my order got delivered to someone else today and the driver didn’t take a photo of where it is so I’ve reported it to the customer service at Amazon get dealt with and it happened with my partner parcel yesterday has well,2026-04-07
Nathan Rose,1,Amazon used to be reliable,"Amazon used to be reliable, but they have now made it a chore to get the help you pay for. My recent order was promised for Sunday the 5th, then pushed back twice.​What’s most frustrating isn't just the delay—it's the 'digital wall' they’ve built to prevent you from speaking to a representative. They have buried the 'Live Chat' and 'Call Me' features behind so many menus that it feels intentional. For a company of this size to hide their customer service behind loopholes is unacceptable. If you can't deliver on time, at least have the decency to let your customers talk to a person about it.",2026-04-06
Ramzan Yaqoob,1,Absolutely rubbish beware they take money no goods....,"Well, they restricted my account. Why?? Because I was not receiving my deliveries they restricted my account. I have full cctv footage as proof that nothing was delivered. They sent me a warning last night and even after speaking to someone today whom advised send an appeal email.. after this they restricted my account. Im happy to advertise everywhere how much these lot scam people they have theifs working for them, then we have to pay the price because we are ordering goods but not receiving. I live on a road where the houses are open even if you leave on my door step someone will steal hence the cameras which record everything. Im happy to share cctv footage to prove my point. All I will say guys these lot are theif they take money no delivery. Yet they state deliverd. I asked for proof of delivery they couldn't provide proof so they restricted me. People beware I have lost out alot of money eith these guys never again I even cancelled my prime membership... rubbish company guys if your not getting ur goods and you tell them they will restrict your account for ordering anything. So better using better company ebay is better than this rubbish.... disgusting attitude absolutely  disgusting the way you get treated yet we pay there wages lmao.... also lieing and saying on email i have another amazon account.. I've only ever had one amazon account which I've had for many many many years. So not sure what all the b.s talk is about but I sure would like proof of another account which you apparently have linked any excuse to make other people look bad, yet your company is full of porkies..",2026-04-06
Eric Cooper,4,Arrived on time,"Arrived on time, well-packaged, and works perfectly.",2026-04-06
Andrey Nikonov,3,I ordered a phone case on Amazon,"I ordered a phone case on Amazon, and the experience was mixed. Delivery took longer than expected, and the package arrived slightly damaged. The product itself was okay, but not exactly as shown in the pictures. Customer support helped, but it took time. Overall, acceptable but not great.",2026-04-06
Rebecca Jones,1,Absolute shambles of a company,Absolute shambles of a companyCompletely non existent customer service and fake or broken items.,2026-04-06
KP,1,Amazon is a terrible company (period)!,Amazon is a terrible company that does not care about you or your experience one bit. They screwed up so many of my orders in the past few weeks (I am doing home renos) that I finally just cancelled my account. I tried contacting customer service for assistance and they provided no help at all. The only advice they would give was cancel any orders I am not happy with and order again! Terrible company!!,2026-04-06
Jason Thomas,1,So I order a Ethernet adapter for a…,"So I order a Ethernet adapter for a fire stick, but the delivery driver dropped off my package NOT at my front door, they left it on the floor by the main entrance of my block of flats, it was stolen by the time I got home, not impressed.",2026-04-06
Mark,1,Amazon Delivery Driver,"Amazon sent my order in good time and it was delivered quickly. The problem was the driver he walked up to the door threw parcel on the porch then walked away, never rang the bell or knock on the door. We have had parcels go missing like that before let's hope it's still on porch when I get home from work.",2026-04-06
Rosa Howard,1,Fuckery and disgusting 🤢,,2026-04-06
Sophie,1,TERRIBLE CUSTOMER SERVICE!!,I am absolutely appalled. Amazons customer service is horrible. Over the weekend my kindle showed a low battery screen and after 48 hours of charging it THE SCREEN DID NOT CHANGE. even though the kindle light shows it is fully charged. When I rang up the person dealing with me clearly hadnt listened as she continously did not understand the problem. I remained patient on the phone but she told me to turn it on to reset it after I had already explained I couldnt do that because of the frozen screen. She did not help me solve the problem or tell me what to do moving forward. I am disgusted by the lack of help I have recieved with this problem and expected better from a company like amazon. SHAME!!! I am a young student who cannot just afford to replace my kindle after it has been broken through no fault of my own!!!,2026-04-06
God,2,For the love of God,"For the love of God, why can they not follow the delivery instructions? Every time they leave the package up against the front door in Plain view of the street ,no matter who delivers it Amazon or an independent company .they do not read the delivery instructions, I have a parcel box which I want them to put the package in, but they totally ignore instructions and drop off as quick as they can and disappear ,leaving my package viewable from the street in a high crime area a matter of time before the goods get stolen .And trying to contact Amazon is virtually impossible as they direct you to a foreign land and the people don’t care ,so I shall probably not bother using them in future this has been going on for years every time I complain it just falls on deaf ears.",2026-04-06
Paul,1,Again an appalling delivery by Amazon courier.,"Package could have been put through letterbox or better still handed to resident who was available so security of delivery would have been assured, but instead package was thrown outside of front door ( as supported by photograph ). The outcome was tenant was unable to get access to package as it had subsequently been taken ( stolen ) by passer by. This was a totally insecure /unsafe delivery by by an incompetant courier who has no mindful awareness or respect for the work they do and should never have been employed and used as a courier.  If available 0 stars would have been totally appropriate! Customers and account holders deserve much better than this Amazon.",2026-04-06
Carol Phillp,1,I bought a cleansing lotion by Loreal…,"I bought a cleansing lotion by Loreal as I trusted Amazon to vet their sellers. However they don’t. What I received was fake and after 2 days use it burnt my face to the extent it peeled  I told Amazon and they offered me £25 compensation and told me I didn’t need to do anything else. However as I told them I have also contacted Loreal so they are aware, and they are very interested in investigating this matter",2026-04-06
Earl McDaniel,5,Orders always arrive on time,"Orders always arrive on time. Returns are hassle‑free: no long forms or excuses, just instant instructions (typically ""drop off at UPS""). Refunds process almost automatically. Amazon is unbeatable for selection, cost, shipping, and returns. Go Amazon!!!!!!!!",2026-04-06
kaled youssef,1,I was promised a full refund after…,"I was promised a full refund after returning an item, but even after waiting 5 days, nothing was processed. When I contacted customer service to follow up, the experience was even worse—the agent was rude, unhelpful, and ended the call abruptly without resolving the issue.This level of service is extremely disappointing. What should have been a simple return turned into a frustrating experience, making the whole process feel unreliable and unprofessional.",2026-04-06
Melaneice Jones,1,They handed my package to a mail…,"They handed my package to a mail carrier to deliver the package and they left outside the apartment building and it was stolen, when my instructions was to notify me but I guess they did tell the mail carrier...smh",2026-04-06
Maggie,2,Same-Day Delivery Is Misleading and Unreliable.,"I’ve now had multiple orders (at least three in the past month) marked as “same-day delivery” that were delayed to the next day. At this point, it feels misleading rather than accidental.The issue isn’t just the delay, it’s the expectation Amazon sets. When I choose same-day delivery, it’s because I need the item that day. Because of these repeated delays, I’ve missed the chance to go to local stores before they closed and ended up without what I needed.If same-day delivery isn’t consistently achievable, it shouldn’t be advertised so confidently at checkout. I would rather see an accurate delivery estimate than rely on something that repeatedly isn’t met.This has happened enough times that I no longer trust same-day delivery as an option.",2026-04-06
Marvin O,1,Purchase many items from Amazon and as…,Purchase many items from Amazon and as to delivery it’s gotten to where moreDeliveries are late missing the date scheduled. Looks like poorManagement,2026-04-06
