reviewer_name,rating,title,body,date
Jez,2,i had been purchasing small inexpensive…,"i had been purchasing small inexpensive things over the years, and if there was issues i was always compensated, but i've just bought something expensive for once, and last time actually, it has several issues with packaging etc and this time the customer service was totally useless",2026-04-05
Fawn Parcels,2,I order quite a bit from Amazon,"I order quite a bit from Amazon. Usually on a weekly, anywhere from necessities to nonsense and spur of the moment things.Recently purchased a 4 person Excursion inflatable boat with cost being over $300 and delivery date for the following day.Once Amazon received my payment, a few hours elapsed and then I received an email advising that my delivery was now 2 days later than originally told.This is not the fist time Amazon has proceeded to sort their deliveries this way.If this the case, why are we paying for Prime? And why is services depleting from the beginning? Shouldn’t it be on the rise, getting even better? They millions of employees/vehicles, there’s no excuse.And if you can’t deliver the following day…it’s OK to say so, just let the consumer know and let them decide if they want that product and delivery time.Fawnzy",2026-04-05
Janet Holcomb,1,Never trust this. Company with bank info,"If I could honestly give this company an -10 that is my rating,been ordering Amazon a loyal Customer for 10 years they shared out all my bank info credit card information to 8 different people ,an there information was in my account, this is not someone hacked my account, this is amazon sharing bank info an sharing other people's info in my account, please people watch your wallet in your amazon accounts, I will never trust this company again.",2026-04-05
Leslie Bodden,5,Amazon furnitures .,My experience with Amazon has always been great .delivery is always on time and sometimes comes earlier than expected . I recently purchased lots of furnitures for my new home and I am absolutely in love with everything I bought. Customer service is great .,2026-04-05
Eric,1,Amazon hates it when you point out their scam..,"So the people at Amazon had the nerve to tell me I needed to edit my review because it ""didn't meet their community guidelines"", AKA, I complained about what a corrupt company they are, and how they intentionally push cheap Chinese garbage on Americans, knowing most people will never bother to return the items. I also pointed out how they KNOWINGLY sell the same products from the same low-grade manufacturers under different names. Here's the review they actually believed I would change because they told me to (I actually just cut-and-pasted it, reposted the exact same review....let's see if the uber-talented ""review committee"" catches what I did):-Cooljob 100% Cotton White gloves/inserts.""Not impressed. So the last few items Ive purchased from Amazon each had reviews averaging 4.5 stars. I now no longer trust ANY of the positive reviews on this site. These gloves are IDENTICAL to the cheap, poorly constructed inserts/gloves I purchased last week. I would bet these gloves (and most, if not all of the thin, white 100% cotton gloves) come from the exact same manufacturer, but are advertised on Amazon under different labels/names. These gloves will last one, maybe two days of VERY LIGHT use, if you have very small hands and short fingers, and you dont plan on sweating. Very disappointed, but I have learned something valuable about Amazon which will save me money in the future"". FYI Amazon, I will NEVER change a review for some entitled corporate pig empire who pushes millions of pounds of cheap, non-recyclable Chinese garbage onto Americans. Why does the EPA not fine Amazon for the millions of pounds of plastic they pollute our country with?!?",2026-04-05
Daniel K,1,This complaint is about Amazon Prime service,"This complaint is about Amazon Prime orders and how they resolve shipping issues. The references to USPS are part of the problem - however Amazon's handling is why this review is here. For reference - this has occurred on more than one occasion. I have an Amazon Prime account which I pay a yearly fee to be a part of.  Smart shoppers can place an order and take advantage of free shipping (and in some cases 1-2 day free shipping. To insure you benefit from this, its important to make sure the listing states ""Prime"" shipping in addition to placing your order in a timely manner to insure this happens.I placed an order that promised 2 day shipping (arriving today). When I placed the order, I confirmed that the seller offered prime shipping and item was in stock. Selecting the prime shipping option -  I am not given a choice of which shipper to use, and since the shipping is ""free"", I have  no remedy other than calling Amazon and hoping for the best.   Sadly - In several other cases, Amazon has credited my account only to charge me months later for the item I may have had a shipping issue with never gets returned or the order isn't properly processed (i.e. Amazon says I don't need to return the item).--THAT SAID - Onward to my recent order and most recent subject of this review . My order was listed via USPS as out for delivery.  Later on the same day - USPS claims ""Customer has requested the shipment to be held for collection. Please collect your package once available for pick-up."" - to be clear - I DID NOT request any such hold from USPS.  With USPS closed there is NO way to reach them, AND my only remedy was to contact Amazon to resolve this. An let us not forget the 2 day prime delivery is now NOT going to occur. -- Calling Amazon and escalating required 4 calls with requests for a supervisor. On each call I needed to request a supervisor 2-3 times before reaching  a Supervisor. 3 supervisors later  I was given a full refund of my product and advised Amazon will handle returning the item without my intervention. For the record - The first 2 supervisors claimed I could not get a return processed until 4 additional days passed (hmm... 2 day delivery failure yet no resolution for twice that amount of time) NO CUSTOMER should EVER have to do this. Shame on you Amazon.   Finally - although my issue has been ""resolved"" - I now have to watch my credit card statements with a magnifying glass to be sure I don't get charged for this in the future. - Uggh.",2026-04-04
Susan Bagay,1,3 hours in 2 days on phone w/AMAZON and NOTHING accomplished,"Went on tech support CALL to have someone UPDATE my phone number. Rep Neeta gets 100+ kudos for her patience, understanding, accommodations, efficiency, proficiency, knowledge, and encouragement ... as I was so frustrated trying to login so AMAZON could update my cell phone. So, Neeta said Amazon would have to get rid of my 2-step verification that would send codes to the old phone number. That would take a couple days, however Amazon sent an email w/in a couple hrs, saying that now I can go ahead and update my cell, but 1st AFTER producing various ids. I did... BUT, I did that w/Neeta! I still could NOT get into my account. So, I called the next day, but 2x was disconnected w/Angela (on AMAZON'S SIDE.) ...Angela called back, but then I had to repeat again the same info for her. DAMN! Doesn't AMAZON record anything? Disconnected again. When my nerves settled down, I tried again. L.O.N.G. story short: after going through the same info a 3rd x, plus M.O.R.E, I was told I would need to wait another 24 hrs for AMAZON to verify who I am. At this point, I'm NOT sure WHO I AM anymore. But I can tell you I'm a hot, angry, bitchy lady now. YES,  I do understand that the many hackers, scammers, etc out there are ""skating by"" while we customers are paying the price. I'm sick and tired of this.",2026-04-05
Paul Burns,1,Amazon delivery drivers are a joke,"As soon as you write a negative review, uh-oh something went wrong! Drivers cannot follow simple instructions to leave packages in a safe place. Promised next day delivery but 3 days later still not received package. Company is a joke, its a nightmare to even speak with anyone and if tou manage to they do not even follow amazons guideline for reimbursement etc",2026-04-04
Alpesh Talati,1,Cheating & IPC 420 Experience must be applicable to Amazon,"I place an order of Rs. 833.00 on 01-04-2026. It was showing Free Delivery. When I proceed for payment it shows 1074.00 to pay. So, I make two times calls and shared both Screenshot. Later Executive replied that Please pay. You are eligible for free delivery. So, It will be refunded in your Amazon Pay Wallet Rs. 241.00 after Delivery. Yesterday I got delivery, but not got refund. When I made a call today executives are telling it was not refundable. This fills cheating Experience.",2026-04-04
Merry A. Kogut,3,I don't have the exact dates,"I don't have the exact dates  -  A week or two ago, a package something I needed immediately was delivered to a postal box instead of to my front door (as stipulated on my delivery directions).  I had to call the post office and wait a full extra 24 hours because the box wouldn't open.  I contacted Amazon and received a nice apology and promise this wouldn't happen again.About 5 days later (a day or two ago), I received another mis-directed Amazon package - it was left on the ground in the alley outside my garbage.  The way it was packaged, it looked like thin advertising garbage - I was lucky to realize it wasn't garbage.  This time, I called Amazon, received an apology, a refund (even though I planned to return the item since the color was no as shown on the website), and a $10 credit by way of futher apology.  I haven't had problems with deliveries since COVID.  What in the world is going on with Amazon?",2026-04-04
Odette Hansen-Spure,5,⭐⭐⭐⭐⭐ Amazon,"⭐⭐⭐⭐⭐ Amazon – Reliable Every Single TimeI’ve used Amazon many times over the years and they have never let me down. I’ve ordered everything from gifts to kitchen appliances for my elderly parents, and every single delivery has arrived without any issues. I honestly wish I could say the same about other companies.Amazon has made life so much easier, especially when I need something quickly or want to make sure my parents get what they need without any hassle. Their service has always been reliable, straightforward, and stress‑free.I’ll definitely continue buying from this site. Thank you for the consistent great service.",2026-04-04
gdplayer,1,The Worst Delivery Service Of All Time,Just because I couldn't Give it 0 Stars.,2026-04-04
Glenn Andrews,1,What the hell is wrong with Amazon…,What the hell is wrong with Amazon 1000s of users unable to use any Amazon apps since February because of passkeys that we're never created  Shame on you Amazon,2026-04-04
Star,1,Amazon customer service are the worst…they are a thief and scammers stealing your money,Amazon customer service are the worst say promised for me to return the item and got full refund back and I waited for 5 days I didn't get the refund back I have called the customer service to complain about what happened and he told me hang up otherwise I'm kind of hung up on you I told him I'm recording you you going to be on public and he didn't care and he hung up on me without helping me is the worst customer service ever Amazon is the worst,2026-04-04
F.D.,1,All Is Well Again,"I have been an Amazon customer for a long time. Recently my webpage has changed. My address is for a house I sold 5 years ago. They say I am not a Prime customer when I have concrete proof that I paid for it in December 2025. Most unbelievable is that per my online account I have NEVER and I repeat NEVER purchased anything from Amazon. I also have email from Amazon with over $300.00 of purchases that were not ordered by me but are in the process of being shipped somewhere. I have called 4 days in a row with very limited success in getting these problems resolved. The strangest thing of all is that two customer service agents have told me that my account has been hacked. Unfortunately, they have to pass that problem along to the security people. the agents   can see that both my email address and my telephone number have been  changed. Well the security people evidently think nothing is wrong with my account.  Wow, absolutely incredible. I have been calling everyday but so far no real help!!! Well I finally got a customer service person who solved my problem. She led me through the process of exiting the old account and bringing up my current account. It has already happened that the old account came up again but I just signed out if it and logged into my current account. I am very grateful for her knowledge and patience. I actually buy a substantial quantity of merchandise (as does most of the country I suspect) from Amazon so I am very happy that all is well agsin. ♥️",2026-04-05
Michael Epstein,1,I was told never to use the word hate !,I was told never to use the word hate !Well I hate this company I would love to see them get investigated or have to close up ! Twenty years military and a senior! I’m trying to get a television station to come out so I can show them everything ! Even the drivers hate it !!! When you see JB on his boat smiling he isn’t smiling because he is happy is smiling and say you suckers !,2026-04-03
Rosemary mark,3,My experience with amazon kdp is top…,"My experience with amazon kdp is top notch just they they sometimes lock my account requesting extra verification before i can use it again, kind of sucks",2026-04-03
LUIS DELAROSA-SABINA,1,Amazon doesn't know how to read.,"I ordered in Amazon the Chinese Medicine Tian wang bu Xin dan, HeartVigor. They sent me BUZhong Yi Qi Wan, QiVive. NNow I have to waste my time to go and return the product in Wholefoods. I stencils recommend you not to by Chinese Medicine in Amzon. They don't know how to read.",2026-04-03
Gary Parsons,1,I was trying to order articles over $35…,I was trying to order articles over $35 to get free shipping.  It seems that the AI system only let me order below that threshold so as to collect shipping. That is very crooked in my opinion. I will be deleting my account as this was not the first experience,2026-04-03
Barry Thick,1,I have just seen the Amazon ad on tv.,"I have just seen the Amazon ad on tv, how amazing, where is this place, I need to move so I get same service, we just get a driver that leaves the parcels on the door step without knocking or ringing bell.",2026-04-03
Gg,1,My wife has ordered several items and…,"My wife has ordered several items and spends lots of money. My issue is when you order something and place order to find out 2-3 days later and all of sudden not available, but you charge me right away than it takes 3-5 days to get your money. If the product is not available than don't charge me. In fact your 3rd party service is by far the worse.",2026-04-03
Laura Fagg,1,"Rubbish, DANGEROUS products","Rubbish products. Rubbish customer service.Non existent.Dangerous, fire-risk products on recall still not replaced after a year.  Continue to be fobbed off by Amazon executives.They pretend I never even bought the other faulty items.Shocking disregard for ""The Consumer Rights Act 2015 is the primary legislation in the UK governing the sale of goods, requiring them to be of satisfactory quality, fit for purpose, and as described.""Amazon is above the law, or believes itself to be.Maybe I will sue through the courts, citing 50,000 unhappy customers.",2026-04-05
Giuseppe Tognetto,1,Corrieri Amazon VERGOGNOSI non si…,"Corrieri Amazon VERGOGNOSI non si degnano neanche di suonare il campanello..... troppa fatica, lasciano i pacchi all' ingresso magari sotto la pioggia. Altri corrieri più corretti almeno suonano",2026-04-03
Jack,1,Warning,"Warning ! Do not buy enything ! You will probably get nothing at all.  I have paid,  awaiting receipt for the order.   But nothing happened.  I have wrote to the Amazon but i get no answer,  I have only received email that . "" there is not such email address """,2026-04-03
Tristan Copley Smith,4,Great,Fast delivery’s,2026-04-03
Sam midlands,1,If want them to follow delivery…,"If want them to follow delivery instruction go to another company.!Numerous times iv complained about were my parcels are left, for them not to do anything about it! Useless!.so far iv been very fortunate for  them not to be stolen as i live in a high crime area.",2026-04-03
Larry,3,Always my go-to for quick shopping,"Always my go-to for quick shopping. Prime delivery is consistently fast and items arrive as described. Had one issue with a damaged box last month, but the return process was seamless. Reliable service so far.",2026-04-03
Liam,4,Fast delivery compared to other services,,2026-04-03
Glen,1,I always type in made in the USA and…,I always type in made in the USA and your website doesn't where the product is made. Can we please get a Made In The USA Amazon website? eldredge1018@gmail for feedback.,2026-04-02
Peter Jensen,5,This is how to provide a good product…,This is how to provide a good product and service. I like the availability of products as well as a reliable rating for each of the products. It is rare that things go wrong and when they do they are always there to fix it.,2026-04-02
Kevin,1,Poor service,Getting fed up with poor delivery service. Countless times parcels thrown over fence damaging expensive plants and items in the parcel.Amazon are now using third party couriers instead of using own transport and drivers to cut costs. Numerous amount of times parcels hasn’t been delivered on time and even had one driver ringing door bell 10:30pm when in bed then chucked parcel over gate before getting to door.Will be limiting using Amazon going forward to absolute necessity,2026-04-02
Colin Brant,1,Delivered to a wrong address,Delivered to a wrong address. Customer Services was very unhelpful and why should the customer have to wait 48 hours as nothing will be done Evey time my parcels come from the Weybridge depot I always get a problem my normal depot in Hayes is about couple of miles away when the come from Weybridge its about 15 miles away and my stuff does not arrive until about 7pm - 9pm,2026-04-02
Larry Grant,3,Guarantee Delivery,"I’ve had a Prime membership for several years and order from Amazon often. Most of the time I just let items arrive whenever. But recently I needed certain parts quickly, so I used their “guaranteed next‑day delivery” options — the ones that promise 4–8 AM or 11–3 PM if you order before the cutoff time.I met the cutoff, the order was confirmed, and the guarantee was shown on my screen. Long story short: it’s now the next day, it’s 1:46 PM, and I still have no package. That guarantee clearly means nothing.If I had a shop appointment to get my vehicle repaired, I would have been completely out of luck. No parts, missed appointment, and now I’d have to wait another week or more to get another slot.A company this big shouldn’t offer guaranteed delivery windows if they can’t honor them. It creates a bad experience and damages trust. Good thing I do my own repairs in the automotive field, or this would have cost me even more time and money.",2026-04-02
Talim Fanbirtounek,4,Fast Delivery and Easy Shopping,"Overall, I had a really good experience with Amazon. The ordering process was quick and easy, and I was able to find exactly what I needed without any hassle. My package arrived on time and was in great condition. I also appreciate the wide variety of products and competitive prices. Customer service was helpful when I had a small question. I’d definitely recommend it and will continue using it in the future",2026-04-02
Heidi,3,Ridiculous Customer Service Process,"Ordered a Verb duo hair sample packet consisting of a purple hair shampoo and purple hair mask. What this seller is doing though, is cutting or tearing the sample packets in half so that you only receive one. Had a difficult time trying to reach a human. Chat don't work, had to go through the ringer just to speak to a broken English person. Can't leave a review unless you spent $50.00 or more. Shouldn't be impossible to reach a human to file a complaint.",2026-04-02
IM,1,Keeps sending me emails that I cant…,"Keeps sending me emails that I cant unsubsribe from. Has a broken unsubscribe link (does not work even for logged in accounts) . They send these emails twice-thrice weekly. Multi billion dollar company, yeah right.",2026-04-02
Nandana Thushara,1,Account cancelled No exact reason and My refund didn't got back yet,"I just a week ago subscribed to amazon prime. I made some orders and arrived well. Yesterday ""01/04/2066"" I ordered but the order didn't arrive without any notice, email or SMS. When I opened my amazon account, it asked me to submit my card photo. It's a virtual card so I sent the photo of the card. Then I received an email saying my account had been cancelled. I can't even make another account. I didn't get a refund of my cancelled orders yet. And my payment for the subscription is totally lost for me.",2026-04-02
Cesar Balbin,2,ILLEGAL RETURN REFUND POLICIES…,"For the average working person or family, I would recommend not using Amazon.Because the products are often as stated fake counterfeit , not as represented and the return policy is not even lawful.For example, if items are delivered to your home and they are obviously faulty.Amazon should not force you to drive to Take the Item Back to Someplace Else.And they should instead pick up the item in your home. Another example\nIs that that they often claim that they are selling third part.\nY items and you only find out after much research.And when you need to return it. Such was the case with some prosciutto ham that I purchased and arrived days after it got to the Central distribution center from the provider, which is in and of itself, something. Amazon should not engage in or allow, because it was now something that could get me sick and it got me.  A little sick and I did not notice any of this because it was a sudden change from the hand that they would normally just deliver from the store and I don't have the time to spend an hour reading everything in every single item ordered and expected, it was just going to come from the store. So when I called Amazon, they told me they had to call this third party dealer, and I will call them back and demand my refund because they're liable for selling it to you and to me.  And this is another fraud that they pull off every day acting as if there's some neutral third party, when in fact, they are the vendors buying from somebody else like they do in any business where the responsibility lies with the one that took my money and your money between us, I don't care where they got the ham from  So they're breaking the law in quite a few ways. And as often happens in American industry, this rich company will 1 day get caught. The stock will plummet or something will happen. In the meantime, the owner is taking billions of dollars for himself, and we'll never have to pay that back or period not too different from Elon Musk. When in 2020 he was claiming, I would be able to drive a Tesla.  All over the state of Florida and his own sales people at the Boca town center store told me that was typical Elon Musk just lying, and he does it very well. This is why I thought it was incredible that anybody listened to the guy on anything? And now we have a lot more information about him than we had before.  Or\n Let's look at AI, G, which spent the better part of a 100 years selling policies of insurance that they never intended on paying on instead, they would declare war on insurers that couldn't withstand the attacks and even defaulted on their insurance over us mortgages catapulting.  The economy into a free fall, not because it was a financial chaotic. Reality. But because the case a**** and government, including Obama and Bush who probably didn't know what they were doing were all too ready to give them money when they should have just arrested everybody and sold the client list in parts. But given the nature of their dishonest business, they just needed to shut it down and nothing would have happened to the u s economy. Or let's talk about others like home depot, where they tell me that their slate flooring costs them about $3 a foot or $4 a foot when it's apparently untrue, because you could buy that wholesale, anybody can for pennies on the dollar of what they charge you, their customer service is a disaster.  And their own delivery truck sometimes can steal the items period the point is, American industries get big, don't eat money and are allowed to get away with murder and in exchange, they keep donating money to the same politicians like our local state attorney who's been elected a miraculous 9 terms in a row.  In MI.\nAmi Day County.God forbid she should go after any company for any fraud or that you should try.Because she'll go after you.So protest protest protest",2026-04-02
Kiwiflightlessbird,1,Worst there is,"Thrown into the garden again, this is every delivery now. Worst delivery company ever.",2026-04-02
Gollapalli Sri vani,1,I have placed order on 17/02/26 for 2…,"I have placed order on 17/02/26 for 2 units, 1 item got delivered on 21/02/26 & 1 item is still not delivered as on date(02/04/26).Order placed/Order number17 February 2026/407-0492853-6033905I am unable to cancel my order & even Amazon people are unable to cancel order(raised 6 times ticket for cancellation).they are simply giving estimated dates but they are not resolving problem.Sincere request Don't buy any item from Amazon as they are making fraud transactions with customers.",2026-04-02
Shahira Schine,5,My trusty go to,My trusty go to. Amazon is a must to get some of my key and staple items from everyday to items I can't find anywhere else.,2026-04-02
Scott,1,No longer reliable and no customer service,"Amazon used to be my go to for nearly all of my shopping. Now I cannot count on them to deliver anything on time, if at all... even things they deliver monthly. They also used to have good customer support. Now it's all pushed off to a call center working off of scripts, with employees who barely understand the system and have no power to provide any support.It's interesting how the price of Prime keeps going up, but the language has changed so they no longer promise anything.",2026-04-02
Kabelo,1,Amazon South Africa has my Macbook and money,"I purchased a MacBook (Order #408‑8682143‑0966718) through Amazon South Africa which had a latent component failure. In February 2026 it began freezing.I shared Apple’s report with Amazon on 16 February, and on 5 March 2026, their supervisor confirmed I qualified for a full refund. The laptop was returned and acknowledged on 13 March, yet as of 1 April 2026, I still have not received repayment of R20 899.Over several weeks, I’ve spoken with multiple agents — and have two active case numbers (D409704577 plus another opened 31 March). I’ve spent hours on hold, repeatedly told the issue would be “escalated,” yet nothing moves forward. One even admited that as of 14 March the escalation ticket has not moved one bit forward.As a postgraduate student relying on this laptop for academic work, I find it deeply disappointing that a company promoting itself as “Earth’s Most Customer‑Centric” cannot resolve a verified faulty‑product refund after multiple written confirmations.I hope Amazon takes this as constructive feedback, resolves my refund promptly, and improves its accountability to customers in South Africa",2026-04-01
Ken Audenaert,1,I'd like to give no stars,"I'd like to give no stars.  Since outsourcing their customer service to every country where people work for less money, NOTHING is done correctly, always language problems and issue never resolved. Plus they lie to you when they get confused.",2026-04-01
JP Kmiami,1,"AMAZON STEALING $1,177.00","AMAZON STEALING $1,177.00 – CARRIER FRAUD AND BAD-FAITH DENIALSAmazon is currently refusing to refund $1,177.00 for order #112-8183673-6958662, despite clear evidence of carrier fraud and a total breach of delivery protocols. I explicitly warned Amazon Customer Service on the 8th day of this transaction that the seller was fraudulent because the package showed zero movement in California for over a week. Miraculously, in 30 minutes’ time, the tracking showed the item ""teleported"" from California to Miami. This is a physical impossibility and absolute proof of a ""phantom tracking"" scam.This was a high-value ""Direct Signature and Government ID Required"" delivery. I remained inside my residence the entire day; I never met a driver, I never showed my ID, and I never signed for this package. Under Amazon’s own 2026 security protocols, a delivery is legally void without those two mandatory steps. No transfer of possession occurred, and Amazon cannot produce a scan of my government ID because the interaction never happened.To cover for this $1,177.00 carrier failure, Amazon’s A-to-z ""specialists"" are engaging in bad-faith intimidation and character slander. They are claiming I have ""unusually high claims"" to justify the denial. This is a lie; I have never filed a legitimate A-to-z claim in my life. They are weaponizing $6.00 grocery delivery errors—caused by their own drivers failing to find my address—to avoid a four-figure refund for a scooter I never received.I will not file a fraudulent police report for property I never possessed; the police confirmed this would be perjury to satisfy an Amazon script. I am filing formal complaints with the FTC, the Florida Attorney General, and my bank’s fraud department. Amazon is using automated bots to protect fraudulent sellers and steal over a thousand dollars from a loyal customer. Refund my $1,177.00 now.",2026-04-01
Colin lyth,1,Rotten thieves and a bunch of liars .,Rotten thieves and a bunch of liars .. Simple as that,2026-04-01
Anthony,1,This is the absolute worst company…,This is the absolute worst company ever.  Yesterday I ordered some items for my boat.  Amazon encouraged me to continue adding items to my cart and stated that they would all be delivered the following day.  I woke up this morning to find that ALL of the items (7) would now not be delivered for 9 days.  The idiot CSR was only able to offer a refund.  He said that all of the items were caught up at the post office somewhere.  This is clear bait and switch and is 100% illegal.  I will be reporting them to my local authorities as well as my district attorney.  This company needs to be shut down.  Absolutely pathetic and criminal.,2026-04-01
Daisy,3,Next day delivery service however..,"Great next day delivery service, issue is cheaper priced products and ideas stolen from other creative businesses. Don’t forget to shop with those who still appreciate every purchase :)",2026-04-01
Kalix,2,I want to say something about amazon…,I want to say something about amazon delay in india because now in 2026 amazon not proper delivered my shipped item like my mobile cover and also automatic cancel my order because of delivery boy low in my area,2026-04-01
Павел Чудинов,3,difficult interaction with customer…,difficult interaction with customer support,2026-04-01
Adube,1,Amazon keeps changing my default…,"Amazon keeps changing my default address. The customer service that answers has a hard time understanding English. My issue is technical and on their side. Ultimately, they say there is no option to get support from anyone with a higher level of understanding. I've spent a lot of time, each person did not understand the issue.....",2026-03-31
Zachary Bell,1,Amazon are scamming thieves,Amazon are scamming thieves .  Many of my orders have been lost. Funds seized etc.  Have spent dozens of hours trying to get my 400$ back from these scammed.  Worst customer service of any company I've ever interacted with by far.  0 out of 1000 stars,2026-03-31
Nelson J,1,This is the second piss-poor customer…,"This is the second piss-poor customer service rating for Amazon.com. Regarding this order, Amazon's Arlington, TX warehouse has my return for 4 full days, and has yet to process refund. When talking to the foreign customer service agent, she called the warehouse and they said they had not received the item, despite the UPS report stating otherwise. She said she would check again with the warehouse, and hung up on me. Getting through to talk to an actual person on Amazon.com is like pulling teeth. It is excrutiating painful. I have began to order through Walmart and Wayfair. I will now COMPLETELY AVOID using Amazon. They have degraded to a NO-customer service and IRRELEVANT retailer.",2026-03-31
Mike Hume,1,Wrong TV delivered,"I ordered a 43-inch smart TV on Wednesday 18.3.26. A TV was delivered on Saturday 21.3.26, but Amazon sent a 40 inch TV! I returned it on Monday 23.3.26, which they received on 24th. Today is Tuesday 31.3.26 - 8 days later. Why am I STILL waiting for my £269 refund for my 43 inch TV. Why is taking so long? It was not my fault that Amazon delivered the wrong size TV! The TV price has now increased on their website to £299!",2026-03-31
Daniel Wade,1,They hold a low standard and create a…,They hold a low standard and create a lot of pollution and waste.  While I've gotten a few good things I could tell after about 6 months of purchases the quality is poor over all for a paid service.,2026-03-31
Pam Marshall,1,Do not even want to give 1 star,"Do not even want to give 1 star.   Horrible customer service !  Amazon took money from my account to pay for someone else’s Prime Membership!  The person used my credit card once for an item purchased,  not to pay for Prime membership though .  That person’s card that was used to pay for monthly Prime membership was closed out so Amazon charged my credit card!   This shows up on my bank statement but no where in my Amazon app and account does it show a deduction for the monthly charge! What gives them the right to just use my card without my permission.   I  didn’t set up that persons Prime so why am I paying for it!     I called and they will not refund my account  and told me that my card can be used by that person as it is listed in their account now.   I paid for the membership twice but I have no say!  Ridiculous ,  plus you can barely understand the people you are speaking with.  I cancelled my Prime Membership right after phone call! It’s pretty bad when you have no say over your own credit card!  Be aware if anyone on Amazon had your credit card number they have free reign",2026-03-31
Lantern,1,I have no stars for them,"I have no stars for them, bad customer service and bad employer, that's where from a bad customer service. Very poor management and egocentric leadership have negatively impacted both morale and productivity at Amazon. UK employment equality laws are seriously compromised, and wages are deliberately mispaid. Managers unhesitatingly pick on and target employees, creating extremely unhealthy toxic work environment.",2026-03-31
Amir ali,4,I’ve been ordering from amazon quite…,"I’ve been ordering from amazon quite often, from small items like coffe and razors to electronics like wireless earbuds. Most of my orders arrive on time and packaging is usually good. the variety is really convenient for everyday needs. i only had a slight delay once but it was handled fine . overall, a reliable experience",2026-03-31
Mokka M,1,Never work for them.,Never work for them. They have ai ruling their platform and closing accounts for no reason. U will lose all your earned money. And they are not reasonable in providing any information about such honorable act. I repeat don’t sell any products on their website.,2026-03-31
Paul James,1,An unforgettable experience with…,"An unforgettable experience with Amazon.A Seagate 6tb portable hard drive was ordered March 16 item saying in stock with Amazon.After 14 day wait advised delivery for 31 March. (Wherever was the Amazon stock to take 14 days to deliver)Advised delay in DESPATCH, (despite already being told it was to be delivered that day) now not able to even give a despatch date.Why is Amazon giving these conflicting messages.Amazon has gone downhill.",2026-03-31
Frank Duggan,1,It's time to stop using Amazon,"I would give a negative rating if at all possible. There is no accountability for their customer service reps. There is no ability to escalate a problem when the overseas call center cannot provide a solution. On March 10th, my business account was locked, stating that my credit card company was disputing charges dating back to November of 2025, when neither my credit card company nor I had disputed any charges from Amazon. On this one day, Amazon incorrectly stated that I was disputing close to 100 charges when these items were paid for and well received by me.I now have over 20 hours of writing emails and speaking with ineffective call center Representatives trying to regain access to my account. I now have over 1,000 AI generated emails from Amazon. They have several different variations but the one I love best beginsThe card ending in 00 that you approved us to charge has not been added to your Amazon account.I'm dying to know how they were able to charge my card if it has not been added to my Amazon account.I have responded thoughtfully by email over a dozen times, hoping that at some point someone might read my communication, but in each instance, I receive either an AI-generated, incorrect response or a human response from someone whose IQ is in the single digits.The recurring proposed solution is that I update my credit cards in my account, even though I've been blocked and cannot access it.In addition to the significant amount of wasted time on my part, this has resulted in a major disruption to my business's workflow, as we have been placing orders with Amazon at least once a week, if not several times, and have had over 40 Subscribe & Save orders. We have now had to find new vendors for all of these products.I think it's time for everyone to consider dropping companies like Amazon that demonstrate no business integrity or respect for their customers.And let's face it, from a social standpoint, they're a horrible company who act very much from a bully mentality owned by a world-class narcissistic a..holeThere are many alternatives to Amazon that place a strong value on customer service and the relationship they have with their customers.Over the years, I have purchased over 1,500 ebooks from Amazon, and I'm now switching to Bookshop.org as I explore the many alternatives to Amazon, which has made great efforts to provide great customer service and act with integrity.Amazon has a Trustpilot rating of 1.7, and no company should be in business whose customers hold them in such horrible regard.I hope the countless individuals who have been consistently and repeatedly strongly dissatisfied with their Amazon experience will stop giving any business to Amazon in the future.",2026-03-31
Jake Phipps,1,It has lock me out of my own account…,It has lock me out of my own account multiple times and on prime I have bought seasons and movies so I just gave up trying to,2026-03-31
Judith Sirotkin,1,Awful customer no service,Awful customer no service. The agent knew less than I did. Waited over 30 minutes for a supervisor who also was totally clueless. Their customer no service is in the toilet. They declined my perfectly good credit card which I pay off in full each month. They blamed my credit card company and my credit card blamed them. Somehow Amazon put an unwarranted  lock on my credit card.,2026-03-31
John Griffith,3,I regularly place orders on Amazon,"I regularly place orders on Amazon; delivery is usually on time and arrives quickly. Unfortunately, this time the package arrived damaged the item itself was intact, but the packaging left a lot to be desired. Customer service works fine.",2026-03-31
Todd Beltrone,1,Amazon going out of business must be service sucks,"Well no surprise whenever I find a site that sucks and I click on review them they have 1 star so I know its never me!! Amazon sucks! What happened they used to be good. First they hit you with every fee possible, trying to locate items sucks, the checkout process is impossible and sucks and....drum roll please...customer service nonexistent or completely sucks! They will be out if business in less than a year you watch! I tried to purchase like 5 items...well over a 100 and still no free shipping...talk about greedy and incompetent...Amazon sucks now...ill never use them again.",2026-03-31
Kay MG Russell,5,Having Choices,I was given such a large amount of choices and I was able to choose what would work for me. Returns are made easy by having several avenues to work with.,2026-03-31
Hannah Bailey,5,WONDERFUL! 😇,"ADORE AND ALWAYS WILL FOR THIS COMPANY! THE PRODUCTS (PARTICULARLY MY RECENT ORDERS: MY LEGGINGS/PANTS, TIGHTS, EARRINGS, AND TOP….SO WONDERFUL, QUALITY WISE AND LOOKS, ETC!). 🥰",2026-03-31
